Thu Apr 25 16:16:03 2024    output.prof

         5965240 function calls (5067064 primitive calls) in 68.623 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2160    0.065    0.000    2.390    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\mujoco_rendering.py:193(render)
     8507    0.422    0.000    2.291    0.000 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\encoder_decoder.py:142(forward)
        1    0.000    0.000    1.977    1.977 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\datahandling.py:43(batch_update_npz)
        1    0.000    0.000    1.977    1.977 <__array_function__ internals>:177(savez_compressed)
        1    0.000    0.000    1.977    1.977 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\lib\npyio.py:623(savez_compressed)
        1    0.000    0.000    1.977    1.977 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\lib\npyio.py:689(_savez)
        1    0.004    0.004    1.975    1.975 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\lib\format.py:659(write_array)
        7    0.000    0.000    1.960    0.280 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\zipfile.py:1123(write)
        7    1.925    0.275    1.925    0.275 {method 'compress' of 'zlib.Compress' objects}
    75177    0.115    0.000    1.910    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\activation.py:392(forward)
       63    0.037    0.001    1.893    0.030 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\new_active_icitris.py:162(get_loss)
    75177    0.091    0.000    1.795    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\functional.py:2053(silu)
     2160    1.699    0.001    1.699    0.001 {built-in method mujoco._render.mjr_readPixels}
    75177    1.688    0.000    1.688    0.000 {built-in method torch._C._nn.silu}
    67300    1.615    0.000    1.615    0.000 {method 'add_' of 'torch._C.TensorBase' objects}
34969/16551    0.146    0.000    1.461    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\functools.py:884(wrapper)
    24920    1.316    0.000    1.319    0.000 {method 'to' of 'torch._C.TensorBase' objects}
     2159    1.318    0.001    1.318    0.001 {resize}
     8129    0.124    0.000    1.080    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\spaces\utils.py:334(_unflatten_dict)
  445/112    0.001    0.000    0.945    0.008 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\core.py:410(reset)
  334/112    0.003    0.000    0.944    0.008 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\core.py:458(reset)
     8507    0.058    0.000    0.934    0.000 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\encoder_decoder.py:150(create_pos_grid)
     2111    0.340    0.000    0.769    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\distributions\normal.py:77(log_prob)
     8129    0.087    0.000    0.737    0.000 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\utils.py:509(get_target_assignment)
     2111    0.025    0.000    0.675    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\distributions\normal.py:50(__init__)
     2048    0.042    0.000    0.662    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\wrappers\record_episode_statistics.py:81(step)
    10186    0.649    0.000    0.649    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
     2048    0.039    0.000    0.615    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\distributions\normal.py:67(sample)
   702323    0.578    0.000    0.578    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\module.py:1675(__getattr__)
     2111    0.331    0.000    0.571    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\distributions\distribution.py:38(__init__)
   365368    0.553    0.000    0.553    0.000 {built-in method torch._C._get_tracing_state}
     2048    0.007    0.000    0.534    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\wrappers\time_limit.py:46(step)
     2048    0.004    0.000    0.527    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\wrappers\order_enforcing.py:52(step)
     2048    0.008    0.000    0.523    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\wrappers\env_checker.py:43(step)
     2048    0.518    0.000    0.518    0.000 {built-in method torch.normal}
     2048    0.046    0.000    0.515    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\walker2d_v4.py:255(step)
       63    0.134    0.002    0.430    0.007 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\utils.py:262(forward)
       63    0.054    0.001    0.427    0.007 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\causal_disentanglement.py:265(forward)
     8192    0.426    0.000    0.426    0.000 {built-in method torch._C._nn.one_hot}
     8129    0.016    0.000    0.426    0.000 <__array_function__ internals>:177(split)
     2111    0.068    0.000    0.426    0.000 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\utils.py:619(mask_actions)
     2160    0.418    0.000    0.418    0.000 {built-in method mujoco._render.mjr_render}
     8633    0.052    0.000    0.412    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\normalization.py:200(forward)
        1    0.000    0.000    0.400    0.400 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\vector\sync_vector_env.py:31(__init__)
        1    0.000    0.000    0.398    0.398 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\vector\sync_vector_env.py:53(<listcomp>)
        1    0.000    0.000    0.398    0.398 I:/Programming/CleanRL/cleanrl/cleanrl/ppo_continuous_action.py:110(thunk)
     8129    0.019    0.000    0.385    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\lib\shape_base.py:799(split)
    30816    0.032    0.000    0.376    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:51(_wrapfunc)
    17014    0.371    0.000    0.371    0.000 {built-in method torch.linspace}
       63    0.054    0.001    0.366    0.006 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\causal_disentanglement.py:483(forward)
     8129    0.012    0.000    0.364    0.000 <__array_function__ internals>:177(array_split)
    16890    0.364    0.000    0.364    0.000 {built-in method torch.tanh}
       63    0.001    0.000    0.357    0.006 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\encoder_decoder.py:116(forward)
     8633    0.029    0.000    0.348    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\functional.py:2531(layer_norm)
     9012    0.331    0.000    0.331    0.000 {built-in method torch.stack}
     8129    0.160    0.000    0.323    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\lib\shape_base.py:739(array_split)
     2160    0.005    0.000    0.322    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\mujoco_rendering.py:675(_get_viewer)
        1    0.000    0.000    0.319    0.319 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\custom_env_wrappers.py:34(__init__)
        1    0.000    0.000    0.317    0.317 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\utils\passive_env_checker.py:343(env_render_passive_checker)
        1    0.000    0.000    0.314    0.314 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\mujoco_rendering.py:137(__init__)
     8633    0.312    0.000    0.312    0.000 {built-in method torch.layer_norm}
     2048    0.019    0.000    0.310    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\wrappers\normalize.py:142(normalize)
  567/504    0.005    0.000    0.301    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\utils\_contextlib.py:112(decorate_context)
        1    0.000    0.000    0.301    0.301 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\mujoco_rendering.py:155(_get_opengl_backend)
        1    0.000    0.000    0.301    0.301 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\mujoco_rendering.py:18(_import_glfw)
        1    0.000    0.000    0.301    0.301 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\mujoco\glfw\__init__.py:23(__init__)
    12004    0.297    0.000    0.297    0.000 {method 'flatten' of 'torch._C.TensorBase' objects}
     2048    0.022    0.000    0.291    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\wrappers\normalize.py:17(update)
       63    0.002    0.000    0.291    0.005 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\optim\optimizer.py:368(wrapper)
       63    0.001    0.000    0.285    0.005 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\optim\optimizer.py:58(_use_grad)
       63    0.003    0.000    0.283    0.004 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\optim\adam.py:133(step)
     8192    0.012    0.000    0.283    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\flatten.py:48(forward)
     6256    0.014    0.000    0.270    0.000 <__array_function__ internals>:177(clip)
     8129    0.017    0.000    0.261    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\spaces\utils.py:340(<listcomp>)
      252    0.008    0.000    0.245    0.001 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\encoder_decoder.py:131(forward)
     2111    0.148    0.000    0.243    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\distributions\distribution.py:270(_validate_sample)
     6256    0.014    0.000    0.241    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:2111(clip)
     8507    0.019    0.000    0.239    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\functional.py:398(meshgrid)
     2048    0.009    0.000    0.235    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\mujoco_env.py:142(do_simulation)
      252    0.009    0.000    0.234    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\optim\adam.py:258(adam)
       63    0.006    0.000    0.225    0.004 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\utils\clip_grad.py:12(clip_grad_norm_)
     4319    0.025    0.000    0.224    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\wrappers\flatten_observation.py:34(observation)
     2048    0.015    0.000    0.222    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\mujoco_env.py:368(_step_mujoco_simulation)
     8507    0.081    0.000    0.220    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\functional.py:495(_meshgrid)
     8129    0.216    0.000    0.216    0.000 {built-in method torch.argmax}
     7593    0.014    0.000    0.215    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\_tensor.py:34(wrapped)
     8192    0.213    0.000    0.213    0.000 {built-in method torch._C._nn.softplus}
     8192    0.211    0.000    0.211    0.000 {built-in method torch.randn_like}
    29166    0.075    0.000    0.211    0.000 {built-in method numpy.asarray}
        1    0.210    0.210    0.210    0.210 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\glfw\__init__.py:1161(create_window)
     2111    0.137    0.000    0.207    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
     8129    0.020    0.000    0.204    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\spaces\utils.py:279(_unflatten_box_multibinary)
      252    0.007    0.000    0.203    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\optim\adam.py:448(_multi_tensor_adam)
     2048    0.202    0.000    0.202    0.000 {built-in method mujoco._functions.mj_step}
     6256    0.042    0.000    0.200    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\_methods.py:127(_clip)
     8381    0.190    0.000    0.190    0.000 {method 'exp' of 'torch._C.TensorBase' objects}
    12742    0.187    0.000    0.187    0.000 {built-in method numpy.zeros}
       63    0.034    0.001    0.187    0.003 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\causal_disentanglement.py:245(_update_dist)
     8509    0.007    0.000    0.185    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\activation.py:355(forward)
       64    0.001    0.000    0.182    0.003 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\utils\data\dataloader.py:626(__next__)
       64    0.001    0.000    0.177    0.003 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\utils\data\dataloader.py:673(_next_data)
       63    0.000    0.000    0.175    0.003 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\utils\data\_utils\fetch.py:46(fetch)
    16258    0.023    0.000    0.161    0.000 <__array_function__ internals>:177(swapaxes)
    66544    0.149    0.000    0.159    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\functional.py:2434(_verify_batch_size)
     2050    0.006    0.000    0.157    0.000 <__array_function__ internals>:177(var)
     6396    0.157    0.000    0.157    0.000 {method 'all' of 'torch._C.TensorBase' objects}
     5923    0.153    0.000    0.153    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
    11420    0.011    0.000    0.150    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\module.py:2171(parameters)
        1    0.000    0.000    0.150    0.150 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\datahandling.py:84(load_data_new)
        1    0.000    0.000    0.149    0.149 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\datasets.py:36(__init__)
     4788    0.147    0.000    0.147    0.000 {built-in method torch.cat}
     2050    0.010    0.000    0.145    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:3614(var)
    11701    0.012    0.000    0.143    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\module.py:2196(named_parameters)
        1    0.000    0.000    0.141    0.141 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\lib\npyio.py:232(__getitem__)
        1    0.012    0.012    0.141    0.141 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\lib\format.py:731(read_array)
     4208    0.009    0.000    0.137    0.000 {method 'clip' of 'numpy.ndarray' objects}
     8192    0.020    0.000    0.136    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\_tensor.py:1058(__array__)
       63    0.013    0.000    0.136    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\utils\clip_grad.py:39(<listcomp>)
     2050    0.075    0.000    0.135    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\_methods.py:198(_var)
     2159    0.026    0.000    0.131    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\spaces\utils.py:192(_flatten_dict)
    11701    0.038    0.000    0.130    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\module.py:2157(_named_members)
      387    0.001    0.000    0.128    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\lib\format.py:944(_read_bytes)
      388    0.001    0.000    0.127    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\zipfile.py:900(read)
     2048    0.013    0.000    0.127    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\wrappers\clip_action.py:34(action)
      386    0.004    0.000    0.126    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\zipfile.py:982(_read1)
     4600    0.125    0.000    0.125    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
    10586    0.125    0.000    0.125    0.000 {method 'float' of 'torch._C.TensorBase' objects}
     2160    0.022    0.000    0.125    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\walker2d_v4.py:245(_get_obs)
     8507    0.121    0.000    0.121    0.000 {built-in method torch.meshgrid}
       63    0.004    0.000    0.118    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\utils\data\_utils\fetch.py:51(<listcomp>)
    12512    0.066    0.000    0.116    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\_methods.py:93(_clip_dep_is_scalar_nan)
     2016    0.021    0.000    0.114    0.000 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\datasets.py:101(__getitem__)
     2048    0.005    0.000    0.113    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\wrappers\transform_reward.py:37(reward)
    16258    0.020    0.000    0.110    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:550(swapaxes)
    34969    0.067    0.000    0.109    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\functools.py:818(dispatch)
