Thu Apr 25 16:16:03 2024    output.prof

         5965240 function calls (5067064 primitive calls) in 68.623 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.004    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\batchnorm.py:126(__init__)
     4320    0.004    0.000    0.004    0.000 {method 'copy' of 'numpy.flatiter' objects}
        1    0.000    0.000    0.004    0.004 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\inspect.py:932(findsource)
     8444    0.004    0.000    0.004    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\overrides.py:1823(is_tensor_like)
       18    0.001    0.000    0.004    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\batchnorm.py:30(__init__)
      693    0.004    0.000    0.004    0.000 {method 'squeeze' of 'torch._C.TensorBase' objects}
    27/14    0.001    0.000    0.004    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\copy.py:227(_deepcopy_dict)
    14060    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
        6    0.004    0.001    0.004    0.001 {built-in method torch._C._linalg.linalg_qr}
   217/14    0.002    0.000    0.004    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:87(_compile)
     4222    0.004    0.000    0.004    0.000 {built-in method math.log}
    65/61    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       32    0.000    0.000    0.004    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\docstring_parser\epydoc.py:28(parse)
    76/73    0.001    0.000    0.004    0.000 {built-in method builtins.__build_class__}
      126    0.003    0.000    0.003    0.000 {method 'long' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.003    0.003 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\causal_disentanglement.py:403(__init__)
      308    0.002    0.000    0.003    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:1405(replace)
    15490    0.003    0.000    0.003    0.000 {built-in method builtins.issubclass}
      603    0.002    0.000    0.003    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\tokenize.py:431(_tokenize)
    16258    0.003    0.000    0.003    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:546(_swapaxes_dispatcher)
      504    0.003    0.000    0.003    0.000 {method 'transpose' of 'torch._C.TensorBase' objects}
      109    0.000    0.000    0.003    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\arrayprint.py:780(_formatArray)
       63    0.001    0.000    0.003    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\autograd\__init__.py:59(_make_grads)
        5    0.003    0.001    0.003    0.001 {built-in method builtins.compile}
        1    0.000    0.000    0.003    0.003 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\imageio\core\legacy_plugin_wrapper.py:1(<module>)
        1    0.000    0.000    0.003    0.003 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\tyro\_calling.py:27(call_from_args)
        2    0.000    0.000    0.003    0.002 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\ast.py:33(parse)
    10289    0.003    0.000    0.003    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\spaces\box.py:144(is_np_flattenable)
       68    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      126    0.003    0.000    0.003    0.000 {method 'new_zeros' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.003    0.003 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\mujoco_env.py:32(__init__)
      126    0.003    0.000    0.003    0.000 {method 'clamp' of 'torch._C.TensorBase' objects}
       32    0.000    0.000    0.003    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\docstring_parser\google.py:290(parse)
       62    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       32    0.000    0.000    0.003    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:1217(asdict)
  218/109    0.002    0.000    0.003    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\arrayprint.py:789(recurser)
      511    0.003    0.000    0.003    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
     2160    0.003    0.000    0.003    0.000 {method 'update' of 'collections.OrderedDict' objects}
   372/32    0.001    0.000    0.003    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\dataclasses.py:1241(_asdict_inner)
       72    0.003    0.000    0.003    0.000 {method 'uniform_' of 'torch._C.TensorBase' objects}
       63    0.001    0.000    0.003    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\optim\optimizer.py:321(_cuda_graph_capture_health_check)
       21    0.000    0.000    0.003    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\linear.py:105(reset_parameters)
        1    0.000    0.000    0.003    0.003 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\utils\tensorboard\writer.py:181(__init__)
        3    0.000    0.000    0.003    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\cuda\random.py:110(manual_seed_all)
     8505    0.002    0.000    0.003    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\optim\adam.py:301(<genexpr>)
        3    0.000    0.000    0.003    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\cuda\__init__.py:230(_lazy_call)
       63    0.003    0.000    0.003    0.000 {built-in method torch.rand}
        3    0.000    0.000    0.003    0.001 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\traceback.py:209(format_stack)
        1    0.000    0.000    0.003    0.003 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\pytorch_lightning\utilities\seed.py:32(seed_everything)
     2050    0.002    0.000    0.003    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\shape_base.py:207(_arrays_for_stack_dispatcher)
        2    0.000    0.000    0.003    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\lib\npyio.py:91(zipfile_factory)
      110    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(round_)
      126    0.003    0.000    0.003    0.000 {method 'new_ones' of 'torch._C.TensorBase' objects}
     8192    0.003    0.000    0.003    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:2519(_cumsum_dispatcher)
        2    0.000    0.000    0.003    0.001 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\zipfile.py:1216(__init__)
        6    0.000    0.000    0.003    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\ctypes\__init__.py:340(__init__)
     2050    0.003    0.000    0.003    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\shape_base.py:462(<setcomp>)
     2054    0.003    0.000    0.003    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
       63    0.001    0.000    0.003    0.000 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\new_active_icitris.py:180(<listcomp>)
       63    0.002    0.000    0.002    0.000 {built-in method torch.ones_like}
     2054    0.002    0.000    0.002    0.000 {method 'set' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.002    0.002 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\causal_disentanglement.py:231(__init__)
        9    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\spaces\box.py:55(__init__)
    10559    0.002    0.000    0.002    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.002    0.002 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\utils.py:189(__init__)
        1    0.001    0.001    0.002    0.002 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\inspect.py:1109(getblock)
      135    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\package\package_importer.py:695(_patched_getfile)
      237    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\utils\tensorboard\writer.py:278(_get_file_writer)
      112    0.002    0.000    0.002    0.000 {built-in method mujoco._functions.mj_forward}
      127    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(amax)
        3    0.000    0.000    0.002    0.001 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\traceback.py:216(extract_stack)
        3    0.000    0.000    0.002    0.001 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\traceback.py:338(extract)
     1296    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
        6    0.002    0.000    0.002    0.000 {built-in method _ctypes.LoadLibrary}
     6152    0.002    0.000    0.002    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
    12512    0.002    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:3148(_ndim_dispatcher)
        2    0.000    0.000    0.002    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\_dynamo\external_utils.py:15(inner)
     8253    0.002    0.000    0.002    0.000 {built-in method torch.is_complex}
        2    0.000    0.000    0.002    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\random.py:26(manual_seed)
        1    0.000    0.000    0.002    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\imageio\core\v3_plugin_api.py:1(<module>)
     2048    0.001    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\vector\utils\spaces.py:177(_iterate_base)
      4/1    0.000    0.000    0.002    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\cuda\__init__.py:272(_lazy_init)
        1    0.000    0.000    0.002    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\utils\tensorboard\writer.py:52(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\mujoco_env.py:350(_initialize_simulation)
        1    0.000    0.000    0.002    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\tyro\_docstrings.py:269(get_callable_description)
        1    0.000    0.000    0.002    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\tensorboard\summary\writer\event_file_writer.py:54(__init__)
       32    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\tyro\_parsers.py:259(handle_field)
       32    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\docstring_parser\google.py:67(__init__)
      190    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\_ops.py:512(__call__)
       39    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      110    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:3754(round_)
        1    0.000    0.000    0.002    0.002 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\causal_disentanglement.py:15(__init__)
     8129    0.002    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\lib\shape_base.py:795(_split_dispatcher)
     2050    0.002    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\shape_base.py:470(<listcomp>)
     6256    0.002    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:2107(_clip_dispatcher)
    11778    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
       32    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\docstring_parser\google.py:81(_setup)
     5935    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FFE9DCC3920}
        1    0.002    0.002    0.002    0.002 {built-in method mujoco._structs.from_xml_path}
      190    0.002    0.000    0.002    0.000 {built-in method torch.arange}
       39    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
      240    0.001    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\_ufunc_config.py:33(seterr)
      261    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.lock' objects}
        6    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\threading.py:288(wait)
      190    0.002    0.000    0.002    0.000 {built-in method torch._ops.profiler.}
       16    0.002    0.000    0.002    0.000 {method 'write' of '_io.BufferedRandom' objects}
      120    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\_ufunc_config.py:430(__enter__)
       39    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      110    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(around)
        1    0.000    0.000    0.002    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\lib\npyio.py:182(__init__)
      135    0.001    0.000    0.002    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\inspect.py:773(getfile)
       18    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\conv.py:143(reset_parameters)
      149    0.002    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\module.py:451(__init__)
        1    0.000    0.000    0.002    0.002 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\new_active_icitris.py:238(get_params)
      241    0.001    0.000    0.002    0.000 {built-in method builtins.any}
      801    0.002    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\parameter.py:8(__instancecheck__)
       64    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\tyro\_fields.py:222(resolve)
        1    0.000    0.000    0.002    0.002 I:/Programming/CleanRL/cleanrl/cleanrl/ppo_continuous_action.py:387(<listcomp>)
      112    0.002    0.000    0.002    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.002    0.002 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\zipfile.py:1326(_RealGetContents)
      224    0.002    0.000    0.002    0.000 {method 'uniform' of 'numpy.random._generator.Generator' objects}
      112    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\gymnasium\envs\mujoco\mujoco_env.py:357(_reset_simulation)
       78    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      190    0.001    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\autograd\profiler.py:593(__init__)
   267/70    0.001    0.000    0.002    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:175(getwidth)
      127    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:2703(amax)
       48    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\argparse.py:2546(_get_formatter)
       63    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\functional.py:1926(log_softmax)
     2050    0.001    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\shape_base.py:458(<listcomp>)
      327    0.001    0.000    0.002    0.000 <__array_function__ internals>:177(where)
       46    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       85    0.000    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
      145    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(amin)
       14    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:560(_compile_info)
    17577    0.002    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\_utils.py:869(is_compiling)
     8129    0.002    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\lib\shape_base.py:735(_array_split_dispatcher)
  420/113    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\abc.py:121(__subclasscheck__)
       48    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\argparse.py:161(__init__)
       81    0.002    0.000    0.002    0.000 {built-in method torch.ones}
        2    0.000    0.000    0.002    0.001 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\argparse.py:1694(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\optim\adam.py:15(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\optim\optimizer.py:245(__init__)
       67    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\_dynamo\skipfiles.py:304(check_file)
  420/113    0.001    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
       63    0.002    0.000    0.002    0.000 {method 'log_softmax' of 'torch._C.TensorBase' objects}
      112    0.002    0.000    0.002    0.000 {built-in method mujoco._functions.mj_resetData}
  312/307    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\typing.py:306(inner)
        1    0.000    0.000    0.002    0.002 I:\Programming\CleanRL\cleanrl\cleanrl\my_files\utils.py:564(get_default_parser)
      110    0.000    0.000    0.002    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:3245(around)
       31    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\init.py:58(_no_grad_fill_)
       32    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\docstring_parser\rest.py:102(parse)
      189    0.001    0.000    0.001    0.000 {built-in method torch.empty_like}
       64    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:38(_wrapit)
        1    0.001    0.001    0.001    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\imageio\config\extensions.py:1(<module>)
     8224    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
     1030    0.001    0.000    0.001    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:255(get)
       87    0.001    0.000    0.001    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\ntpath.py:489(normpath)
        1    0.000    0.000    0.001    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\cuda\__init__.py:1267(_register_triton_kernels)
        1    0.000    0.000    0.001    0.001 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\importlib\util.py:73(find_spec)
      218    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\arrayprint.py:989(<genexpr>)
        1    0.000    0.000    0.001    0.001 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\encodings\__init__.py:71(search_function)
       96    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\traceback.py:301(line)
      237    0.001    0.000    0.001    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\threading.py:359(notify)
       66    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\cuda\__init__.py:124(_nvml_based_avail)
      124    0.001    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\numeric.py:290(full)
        3    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\pathlib.py:1064(resolve)
        1    0.000    0.000    0.001    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\tyro\_argparse_formatter.py:274(__init__)
     6368    0.001    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\lib\function_base.py:867(_copy_dispatcher)
       63    0.001    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\_tensor.py:526(register_hook)
       32    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\tyro\_arguments.py:388(_rule_generate_helptext)
       32    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\linecache.py:26(getline)
     1024    0.001    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\docstring_parser\numpydoc.py:315(<genexpr>)
      160    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\tyro\_strings.py:52(make_field_name)
       25    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\init.py:224(ones_)
       63    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\utils\data\_utils\collate.py:194(collate_int_fn)
        1    0.000    0.000    0.001    0.001 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\glfw\library.py:1(<module>)
       85    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
      145    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:2829(amin)
       33    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\linecache.py:36(getlines)
     4218    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      110    0.001    0.000    0.001    0.000 {method 'round' of 'numpy.ndarray' objects}
      238    0.001    0.000    0.001    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
       67    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\_dynamo\utils.py:741(getfile)
        5    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\Programs\Python\Python310\lib\linecache.py:80(updatecache)
      140    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\module.py:551(register_parameter)
     2052    0.001    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\numpy\core\fromnumeric.py:3340(_mean_dispatcher)
       46    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       20    0.000    0.000    0.001    0.000 C:\Users\vries\AppData\Local\pypoetry\Cache\virtualenvs\cleanrl-qzM2UssE-py3.10\lib\site-packages\torch\nn\modules\container.py:99(__init__)
